iter	Logloss
0	0.6619866431
1	0.6348294097
2	0.608577805
3	0.5856505177
4	0.5661679665
5	0.5469560907
6	0.5294017219
7	0.5129238277
8	0.4983904895
9	0.4857221358
10	0.4730968698
11	0.4623450135
12	0.4521664866
13	0.442911359
14	0.4342579721
15	0.4252444164
16	0.4180830264
17	0.4118919065
18	0.4049556223
19	0.3988964426
20	0.3932711874
21	0.3876910157
22	0.3828979692
23	0.3784246863
24	0.3738784426
25	0.3699253001
26	0.365849027
27	0.3631250639
28	0.3597219342
29	0.356951327
30	0.3546832623
31	0.35200502
32	0.3488429503
33	0.3464618298
34	0.3444245492
35	0.3426260549
36	0.3408710077
37	0.3389850582
38	0.3368105916
39	0.3360087397
40	0.334499833
41	0.3323202168
42	0.3313014785
43	0.3297658065
44	0.3280074412
45	0.3271716665
46	0.3262814633
47	0.3245845145
48	0.3228251497
49	0.321942179
50	0.32094773
51	0.3198098345
52	0.3187845833
53	0.3170169355
54	0.3158653238
55	0.3140485208
56	0.3128457768
57	0.3116815248
58	0.310775215
59	0.3100524436
60	0.3089868741
61	0.3082725974
62	0.3073773586
63	0.3069015869
64	0.3062623732
65	0.3052314685
66	0.3044836624
67	0.303845772
68	0.3030288024
69	0.3023358478
70	0.3016892488
71	0.3010033816
72	0.3004932052
73	0.3001134371
74	0.2995139295
75	0.2990605993
76	0.2985209264
77	0.2977112056
78	0.2973287552
79	0.2966302051
80	0.2954708274
81	0.2949130139
82	0.2944256135
83	0.294047919
84	0.2936329641
85	0.2932977241
86	0.2925215216
87	0.2921703802
88	0.2913952693
89	0.2909514138
90	0.2904451922
91	0.2900310403
92	0.2891172667
93	0.2888251377
94	0.288266365
95	0.2876817843
96	0.2872466325
97	0.2870032725
98	0.2865949718
99	0.2863106893
100	0.2855567383
101	0.2851408245
102	0.2847733067
103	0.2841753558
104	0.2837121824
105	0.2833447156
106	0.2830002318
107	0.2827132936
108	0.2823408673
109	0.2819768413
110	0.2817151593
111	0.2813315575
112	0.280772814
113	0.280298187
114	0.2798614717
115	0.2795608872
116	0.2792375614
117	0.2789510384
118	0.2781426716
119	0.2778355686
120	0.2774091836
121	0.2769593092
122	0.2766728224
123	0.2763547712
124	0.2759842191
125	0.2754812039
126	0.2751726362
127	0.2748785144
128	0.2743924315
129	0.2736808604
130	0.2731877884
131	0.2729209894
132	0.2726247788
133	0.2723332536
134	0.2720071152
135	0.2717560504
136	0.2710011226
137	0.2706400945
138	0.2700700174
139	0.2697929343
140	0.2694869901
141	0.2690496098
142	0.2683990331
143	0.2681622969
144	0.2678505653
145	0.2674562825
146	0.2671224725
147	0.2669250123
148	0.2665956674
149	0.2661288832
150	0.2657590969
151	0.2655806231
152	0.2652875181
153	0.2650370437
154	0.2648431418
155	0.2643802655
156	0.263872778
157	0.2635746426
158	0.26338813
159	0.2630551458
160	0.2626900771
161	0.2623706739
162	0.2621565853
163	0.2618856478
164	0.2616372248
165	0.2612921976
166	0.2608754248
167	0.2606517294
168	0.2603723454
169	0.2598449536
170	0.2596007453
171	0.2593313907
172	0.2591172946
173	0.2590003179
174	0.2587165479
175	0.2583403726
176	0.2579826709
177	0.2576247011
178	0.257247749
179	0.2570100287
180	0.256855831
181	0.2566048688
182	0.2562565684
183	0.2560133289
184	0.255850259
185	0.2555837239
186	0.2553689817
187	0.2552232905
188	0.2548827847
189	0.2546676672
190	0.2544638588
191	0.2542537153
192	0.2539918723
193	0.2537397395
194	0.2533892042
195	0.2532427417
196	0.2528991137
197	0.2526711437
198	0.2523853136
199	0.2520783921
200	0.2518936031
201	0.2516741418
202	0.2514170314
203	0.2512741897
204	0.2508061592
205	0.2505245959
206	0.2503009707
207	0.2500339894
208	0.2497206647
209	0.2493912407
210	0.2492503862
211	0.2490671784
212	0.2487680439
213	0.2484438544
214	0.2481155831
215	0.2477452841
216	0.2475460185
217	0.2472533408
218	0.2469759823
219	0.2466709141
220	0.2463450253
221	0.2460300284
222	0.2457477825
223	0.2455334272
224	0.2453182581
225	0.245108535
226	0.2448538815
227	0.244482323
228	0.2442721386
229	0.2441063682
230	0.2438894378
231	0.2437907653
232	0.243633294
233	0.2433499686
234	0.2430610702
235	0.242892044
236	0.2427235398
237	0.2424774555
238	0.2422480679
239	0.242033916
240	0.24186997
241	0.2417397532
242	0.2415453798
243	0.2412133215
244	0.2410514645
245	0.2408592165
246	0.2406789359
247	0.2403993227
248	0.2401395059
249	0.2399335424
250	0.2397514379
251	0.2395140484
252	0.2391356827
253	0.2390245694
254	0.2388278463
255	0.2383831948
256	0.2381865795
257	0.2379673412
258	0.2378061213
259	0.2375816597
260	0.2372244232
261	0.2367742991
262	0.2364455881
263	0.2362910497
264	0.2359797489
265	0.2358757563
266	0.2357028913
267	0.2355404772
268	0.2354501211
269	0.235278878
270	0.2350880428
271	0.2348568894
272	0.2346739715
273	0.2343242771
274	0.2341883806
275	0.2339619873
276	0.2338445392
277	0.2336945316
278	0.2334965135
279	0.2333153961
280	0.2331708877
281	0.2329053391
282	0.2326437471
283	0.2324509789
284	0.2322580286
285	0.2317514657
286	0.2314312684
287	0.2311793468
288	0.2308133782
289	0.2305665344
290	0.2303405127
291	0.2300689807
292	0.2297596938
293	0.22952483
294	0.2293307682
295	0.2291862893
296	0.2290177971
297	0.2287045315
298	0.2286113681
299	0.2283969405
300	0.2282605245
301	0.2279830788
302	0.2277811915
303	0.2275363517
304	0.2274052862
305	0.2271694225
306	0.226968923
307	0.2266401033
308	0.2264703984
309	0.2263166123
310	0.2261267608
311	0.2259902364
312	0.2258402902
313	0.2257809396
314	0.2255588559
315	0.225430021
316	0.2251378896
317	0.2248325947
318	0.2246212049
319	0.2243771389
320	0.2241512592
321	0.2239695795
322	0.2238453362
323	0.2236614405
324	0.2234479605
325	0.223315188
326	0.2231385566
327	0.2229813485
328	0.2226311787
329	0.2224097585
330	0.2221317027
331	0.2220051297
332	0.2217861097
333	0.2215582363
334	0.2212626675
335	0.2211338825
336	0.2208979639
337	0.2206488805
338	0.2204123059
339	0.2202585325
340	0.2200888189
341	0.2198113351
342	0.2194822384
343	0.2193777753
344	0.2192177129
345	0.2190622294
346	0.218932006
347	0.2186324393
348	0.2184691864
349	0.2182601398
350	0.218063407
351	0.2178551786
352	0.2175670475
353	0.2173964393
354	0.217239767
355	0.2171355651
356	0.2169484494
357	0.2167227725
358	0.2165876973
359	0.2163634798
360	0.216224119
361	0.2160754937
362	0.2158336252
363	0.2156333142
364	0.21547979
365	0.2151210961
366	0.2147524638
367	0.2145556591
368	0.2142329975
369	0.2140605057
370	0.2137479442
371	0.2136459692
372	0.2134591758
