iter	Passed	Remaining
0	168	168499
1	185	92598
2	213	70938
3	262	65420
4	294	58602
5	311	51650
6	329	46737
7	344	42676
8	357	39320
9	377	37337
10	442	39796
11	460	37915
12	486	36906
13	499	35166
14	513	33707
15	528	32533
16	543	31427
17	557	30440
18	576	29754
19	590	28912
20	600	28013
21	616	27409
22	631	26816
23	645	26266
24	659	25709
25	671	25158
26	687	24780
27	701	24364
28	715	23945
29	728	23555
30	742	23196
31	757	22911
32	769	22539
33	779	22146
34	793	21868
35	805	21573
36	814	21198
37	827	20942
38	839	20678
39	847	20351
40	859	20094
41	869	19842
42	878	19562
43	890	19343
44	900	19113
45	909	18864
46	920	18666
47	929	18440
48	941	18263
49	952	18100
50	962	17915
51	976	17802
52	991	17711
53	1003	17574
54	1017	17476
55	1026	17299
56	1040	17206
57	1052	17094
58	1064	16981
59	1073	16825
60	1085	16713
61	1097	16606
62	1107	16470
63	1121	16398
64	1133	16308
65	1145	16215
66	1156	16099
67	1168	16013
68	1179	15909
69	1188	15788
70	1200	15707
71	1210	15602
72	1221	15507
73	1232	15421
74	1241	15316
75	1253	15238
76	1266	15176
77	1277	15101
78	1289	15029
79	1303	14989
80	1317	14946
81	1330	14895
82	1342	14832
83	1353	14756
84	1367	14722
85	1379	14661
86	1392	14609
87	1403	14542
88	1416	14497
89	1430	14461
90	1445	14440
91	1459	14408
92	1469	14329
93	1482	14292
94	1495	14244
95	1509	14213
96	1518	14133
97	1530	14084
98	1544	14053
99	1557	14020
100	1566	13947
101	1581	13921
102	1595	13893
103	1610	13872
104	1619	13803
105	1627	13730
106	1641	13698
107	1649	13623
108	1661	13579
109	1670	13512
110	1679	13448
111	1691	13411
112	1699	13342
113	1709	13288
114	1717	13217
115	1727	13161
116	1735	13096
117	1744	13040
118	1754	12986
119	1762	12923
120	1771	12866
121	1779	12803
122	1788	12752
123	1796	12689
124	1808	12657
125	1816	12601
126	1826	12553
127	1835	12502
128	1844	12451
129	1853	12407
130	1862	12353
131	1873	12319
132	1881	12265
133	1890	12219
134	1898	12167
135	1908	12126
136	1918	12085
137	1928	12045
138	1942	12033
139	1956	12016
140	1965	11976
141	1975	11939
142	1988	11914
143	1997	11876
144	2007	11835
145	2016	11797
146	2027	11763
147	2039	11742
148	2052	11721
149	2061	11680
150	2074	11662
151	2085	11634
152	2093	11590
153	2104	11561
154	2115	11530
155	2124	11493
156	2134	11460
157	2142	11417
158	2152	11387
159	2160	11344
160	2171	11317
161	2181	11283
162	2189	11241
163	2199	11214
164	2209	11179
165	2219	11150
166	2230	11125
167	2238	11087
168	2252	11077
169	2266	11067
170	2280	11055
171	2291	11032
172	2303	11010
173	2314	10986
174	2322	10949
175	2334	10929
176	2344	10901
177	2354	10872
178	2367	10860
179	2379	10841
180	2388	10806
181	2401	10791
182	2413	10774
183	2422	10742
184	2432	10717
185	2444	10697
186	2453	10665
187	2464	10642
188	2472	10608
189	2481	10580
190	2491	10553
191	2500	10521
192	2511	10499
193	2519	10466
194	2530	10445
195	2540	10419
196	2549	10390
197	2560	10372
198	2568	10339
199	2580	10323
200	2591	10299
201	2598	10267
202	2610	10248
203	2618	10216
204	2628	10192
205	2638	10169
206	2646	10139
207	2656	10114
208	2664	10083
209	2674	10060
210	2682	10030
211	2693	10010
212	2701	9979
213	2711	9957
214	2720	9932
215	2728	9904
216	2738	9881
217	2747	9855
218	2758	9836
219	2766	9808
220	2776	9785
221	2785	9760
222	2793	9733
223	2804	9713
224	2813	9690
225	2824	9671
226	2834	9653
227	2844	9630
228	2857	9620
229	2869	9607
230	2879	9587
231	2891	9572
232	2908	9573
233	2919	9558
234	2932	9545
235	2943	9528
236	2956	9518
237	2967	9500
238	2976	9478
239	2989	9466
240	3003	9459
241	3017	9452
242	3027	9431
243	3041	9423
244	3055	9415
245	3067	9401
246	3076	9379
247	3089	9368
248	3101	9354
249	3112	9338
250	3123	9321
251	3137	9312
252	3149	9299
253	3160	9283
254	3172	9267
255	3185	9257
256	3195	9239
257	3206	9221
258	3219	9211
